Name,Address,Phone,Website,Email,Maps URL,Status
Food Truck Fridays,"Address: 18551 N 83rd Ave, Glendale, AZ 85308 ",Phone: (602) 703-7154 ,http://www.foodtruckfridaywest.com/,,https://www.google.com/maps/place/Food+Truck+Fridays/data=!4m7!3m6!1s0x872b681f0a1ec15d:0x81ce8a9443dc3643!8m2!3d33.6496973!4d-112.2356425!16s%2Fg%2F11hbfz3x4n!19sChIJXcEeCh9oK4cRQzbcQ5SKzoE?authuser=0&hl=en&rclk=1,Official Website
Elote Man AZ,"Address: 5101 W Barbara Ave, Glendale, AZ 85302 ",Phone: (602) 427-8213 ,http://www.elotemanaz.com/,impallari@gmail.com,https://www.google.com/maps/place/Elote+Man+AZ/data=!4m7!3m6!1s0x80cddba278be60c7:0x548d184a494f904e!8m2!3d33.5635012!4d-112.1693219!16s%2Fg%2F11jmcq9nvm!19sChIJx2C-eKLbzYARTpBPSUoYjVQ?authuser=0&hl=en&rclk=1,Official Website
Taqueria El Sol,"Address: 8302 W Glendale Ave, Glendale, AZ 85303 ",Phone: (602) 456-9685 ,http://soltacotruck.square.site/,,https://www.google.com/maps/place/Taqueria+El+Sol/data=!4m7!3m6!1s0x872b6ba8e0011281:0xae9883b175d51599!8m2!3d33.538024!4d-112.2383551!16s%2Fg%2F11j7x_whkh!19sChIJgRIB4KhrK4cRmRXVdbGDmK4?authuser=0&hl=en&rclk=1,Official Website
Tacolicioso,"Address: 9031 W Northern Ave, Glendale, AZ 85305 ",Phone: (602) 527-6017 ,,,https://www.google.com/maps/place/Tacolicioso/data=!4m7!3m6!1s0x872b416f62db93ed:0xdfdfd5529ccc354e!8m2!3d33.5514266!4d-112.254021!16s%2Fg%2F11sbzzj_13!19sChIJ7ZPbYm9BK4cRTjXMnFLV398?authuser=0&hl=en&rclk=1,No Website
Q Takote,"Address: 4513 W Glendale Ave, Glendale, AZ 85301 ",Phone: (602) 730-2103 ,https://www.facebook.com/profile.php?id=100076388677537&mibextid=ZbWKwL,,https://www.google.com/maps/place/Q+Takote/data=!4m7!3m6!1s0x872b6bc87ec8c88b:0xb6408474eeace680!8m2!3d33.5379634!4d-112.1565415!16s%2Fg%2F11tfj2_b49!19sChIJi8jIfshrK4cRgOas7nSEQLY?authuser=0&hl=en&rclk=1,Platform Only
Ruby's Food Truck,"Address: 8601 W Grand Ave, Peoria, AZ 85345 ",Phone: (480) 799-2752 ,,,https://www.google.com/maps/place/Ruby%27s+Food+Truck/data=!4m7!3m6!1s0x872b4271ae120e03:0x600fc89c1a4d0d77!8m2!3d33.5869755!4d-112.244935!16s%2Fg%2F11b6_nzkws!19sChIJAw4SrnFCK4cRdw1NGpzID2A?authuser=0&hl=en&rclk=1,No Website
Taco Hatz,"Address: 6722 N 59th Ave, Glendale, AZ 85301 ",Phone: (480) 381-3977 ,,,https://www.google.com/maps/place/Taco+Hatz/data=!4m7!3m6!1s0x872b6b196129e71d:0x8dfd2abf0ed7bb0e!8m2!3d33.5357375!4d-112.1868467!16s%2Fg%2F11tmnwldyq!19sChIJHecpYRlrK4cRDrvXDr8q_Y0?authuser=0&hl=en&rclk=1,No Website
La Jefa’s Munchies,"Address: 6308 Grand Ave, Glendale, AZ 85301 ",Phone: (480) 694-0307 ,,,https://www.google.com/maps/place/La+Jefa%E2%80%99s+Munchies/data=!4m7!3m6!1s0x872b6b70dc6782bb:0x688a49631f822df3!8m2!3d33.5466741!4d-112.1951891!16s%2Fg%2F11s34qnjtz!19sChIJu4Jn3HBrK4cR8y2CH2NJimg?authuser=0&hl=en&rclk=1,No Website
The Gorilla Cheese Truck,,Phone: (602) 696-7105 ,,,https://www.google.com/maps/place/The+Gorilla+Cheese+Truck/data=!4m7!3m6!1s0x872b6888c5698457:0xb10be838963ec402!8m2!3d33.5805664!4d-112.094617!16s%2Fg%2F11c2pncp8y!19sChIJV4RpxYhoK4cRAsQ-ljjoC7E?authuser=0&hl=en&rclk=1,No Website
Cubanitas Kitchen Food Truck,"Address: 5059 W Olive Ave, Glendale, AZ 85302 ",Phone: (480) 925-5840 ,,,https://www.google.com/maps/place/Cubanitas+Kitchen+Food+Truck/data=!4m7!3m6!1s0x872b6bbd0ac00001:0xb72868158256f34e!8m2!3d33.5671824!4d-112.1684528!16s%2Fg%2F11v5jkhpwx!19sChIJAQDACr1rK4cRTvNWghVoKLc?authuser=0&hl=en&rclk=1,No Website
Taco Rojo’s,"Address: 6734 N 59th Ave, Glendale, AZ 85301 ",Phone: (602) 320-0030 ,https://instagram.com/tralchingaso?igshid=7n42o1vvj2ay,,https://www.google.com/maps/place/Taco+Rojo%E2%80%99s/data=!4m7!3m6!1s0x872b6bd563501461:0xe70658bacac34dae!8m2!3d33.5362642!4d-112.1866464!16s%2Fg%2F11j607h34q!19sChIJYRRQY9VrK4cRrk3DyrpYBuc?authuser=0&hl=en&rclk=1,Platform Only
El New Yorican - Puerto Rican Food Truck,"Address: behind grace walk church, 7840 W Lower Buckeye Rd, Phoenix, AZ 85043 ",Phone: (602) 391-3056 ,https://facebook.com/elnewyorican,,https://www.google.com/maps/place/El+New+Yorican+-+Puerto+Rican+Food+Truck/data=!4m7!3m6!1s0x872b3f10b469ec6b:0x7486a7d670669147!8m2!3d33.4238279!4d-112.2294141!16s%2Fg%2F11rhrnpyq5!19sChIJa-xptBA_K4cRR5FmcNanhnQ?authuser=0&hl=en&rclk=1,Platform Only
Chef On Wheels,,Phone: (602) 354-1166 ,,,https://www.google.com/maps/place/Chef+On+Wheels/data=!4m7!3m6!1s0x872b6b6461565e63:0xfe587d75c74da6ea!8m2!3d34.168035!4d-111.9307474!16s%2Fg%2F11rc7wjfnp!19sChIJY15WYWRrK4cR6qZNx3V9WP4?authuser=0&hl=en&rclk=1,No Website
Culinary Skol,,Phone: (210) 727-4768 ,http://www.culinaryskol.com/,filler@godaddy.com,https://www.google.com/maps/place/Culinary+Skol/data=!4m7!3m6!1s0x872b6b47c2ede685:0xad7f46fd7124b2fc!8m2!3d31.1689103!4d-100.0768425!16s%2Fg%2F11gxmw4qdq!19sChIJhebtwkdrK4cR_LIkcf1Gf60?authuser=0&hl=en&rclk=1,Official Website
Tacos Al Pastor,"Address: 6616 W Olive Ave, Glendale, AZ 85302 ",Phone: (408) 836-2318 ,https://m.facebook.com/tacosalpastoraz/,,https://www.google.com/maps/place/Tacos+Al+Pastor/data=!4m7!3m6!1s0x872b6b534f97e3df:0x97a0d39887ba2dc0!8m2!3d33.5673866!4d-112.2013854!16s%2Fg%2F11hzd0t97p!19sChIJ3-OXT1NrK4cRwC26h5jToJc?authuser=0&hl=en&rclk=1,Platform Only
