Name,Address,Phone,Website,Email,Maps URL,Status
1-800-GOT-JUNK? Des Moines,,Phone: (515) 274-8506 ,https://www.1800gotjunk.com/us_en/locations/junk-removal-des-moines?utm_source=googleplus&utm_medium=maps&utm_campaign=desmoins,,https://www.google.com/maps/place/1-800-GOT-JUNK%3F+Des+Moines/data=!4m7!3m6!1s0x87ee99ad8320a873:0x2f51e499f5bcd607!8m2!3d41.7621011!4d-93.6784425!16s%2Fg%2F11g072n9wz!19sChIJc6ggg62Z7ocRB9a89ZnkUS8?authuser=0&hl=en&rclk=1,Official Website
Des Moines Junk,"Address: 3011 Dean Ave, Des Moines, IA 50317 ",Phone: (515) 494-5050 ,https://desmoinesjunk.com/,removal@dsmjunk.com,https://www.google.com/maps/place/Des+Moines+Junk/data=!4m7!3m6!1s0x87eea32cea570bbf:0xcd705081fc752894!8m2!3d41.5912671!4d-93.5575247!16s%2Fg%2F11_tdwdv7!19sChIJvwtX6iyj7ocRlCh1_IFQcM0?authuser=0&hl=en&rclk=1,Official Website
Jermaine’s Hauling: Same-Day Fast Junk Removal,"Address: 1420 Pennsylvania Ave, Des Moines, IA 50316 ",Phone: (515) 809-0159 ,https://jermaineshaulinginc.com/,,https://www.google.com/maps/place/Jermaine%E2%80%99s+Hauling:+Same-Day+Fast+Junk+Removal/data=!4m7!3m6!1s0x87ee99d019b892d7:0x6f6cf86507c3fc4!8m2!3d41.606178!4d-93.609547!16s%2Fg%2F1tls3d31!19sChIJ15K4GdCZ7ocRxD98UIbP9gY?authuser=0&hl=en&rclk=1,Official Website
Premier Junk Removers,"Address: 1395 Hoak Dr, West Des Moines, IA 50265 ",Phone: (515) 778-2889 ,https://www.premierjunkremovers.com/,premierjunkremovers@gmail.com,https://www.google.com/maps/place/Premier+Junk+Removers/data=!4m7!3m6!1s0x86b54994048d7e8f:0x21750663fe7b98c!8m2!3d41.5914668!4d-93.7103815!16s%2Fg%2F11y402w_09!19sChIJj36NBJRJtYYRjLnnP2ZQFwI?authuser=0&hl=en&rclk=1,Official Website
Purple Cow Junk Removal & Home Services - Des Moines,"Address: 7600 SW 22nd St Suite 106, Des Moines, IA 50321 ",Phone: (515) 686-4870 ,https://purplecowjunkremoval.com/,,https://www.google.com/maps/place/Purple+Cow+Junk+Removal+%26+Home+Services+-+Des+Moines/data=!4m7!3m6!1s0x87eea364daf39511:0x93472b5af5adddf5!8m2!3d41.514821!4d-93.648208!16s%2Fg%2F11vb_gqb4x!19sChIJEZXz2mSj7ocR9d2t9VorR5M?authuser=0&hl=en&rclk=1,Official Website
Junk King Des Moines,"Address: 1975 NW 92nd Ct Suite 8, Clive, IA 50325 ",Phone: (515) 446-9125 ,https://www.junk-king.com/locations/des-moines?cid=LSTL_JKG-US000187&utm_source=gmb&utm_campaign=local&utm_medium=organic,,https://www.google.com/maps/place/Junk+King+Des+Moines/data=!4m7!3m6!1s0x87ee99fab61fcb97:0x33809cae3df9b63c!8m2!3d41.610777!4d-93.7435883!16s%2Fg%2F11g8vqflx0!19sChIJl8sftvqZ7ocRPLb5Pa6cgDM?authuser=0&hl=en&rclk=1,Official Website
All Junk Solutions,"Address: 2515 SE 1st St, West Des Moines, IA 50265 ",Phone: (515) 250-0521 ,https://alljunksolutions.com/,info@alljunksolutions.com,https://www.google.com/maps/place/All+Junk+Solutions/data=!4m7!3m6!1s0x87ec2158b8b17e41:0x3638dbe7906fd460!8m2!3d41.5335446!4d-93.7037431!16s%2Fg%2F11fnmh32z5!19sChIJQX6xuFgh7IcRYNRvkOfbODY?authuser=0&hl=en&rclk=1,Official Website
24/7 Junk & Labor,"Address: 650 S Prairie View Dr, West Des Moines, IA 50266 ",Phone: (515) 664-1041 ,http://www.junkdesmoines.com/,,https://www.google.com/maps/place/24%2F7+Junk+%26+Labor/data=!4m7!3m6!1s0xa426884ba164d613:0x61c8a03496a2bb9d!8m2!3d41.5605331!4d-93.7842297!16s%2Fg%2F11y47_48jc!19sChIJE9ZkoUuIJqQRnbuiljSgyGE?authuser=0&hl=en&rclk=1,Official Website
JJ Des Moines Hauling and Junk Removal,,Phone: (515) 400-3932 ,,,https://www.google.com/maps/place/JJ+Des+Moines+Hauling+and+Junk+Removal/data=!4m7!3m6!1s0x8cbe1888f0698d75:0xacd24a8bf84c7703!8m2!3d41.6372816!4d-93.7270165!16s%2Fg%2F11rpky_zhb!19sChIJdY1p8IgYvowRA3dM-ItK0qw?authuser=0&hl=en&rclk=1,No Website
Osprey Hauling & Junk Removal,"Address: 2710 56th St, Des Moines, IA 50310 ",Phone: (515) 989-8391 ,http://www.ospreyhauling515.com/,intl-segmenter@11.7.10,https://www.google.com/maps/place/Osprey+Hauling+%26+Junk+Removal/data=!4m7!3m6!1s0x2ee4cc92bfb33e77:0x5cf5cdaf8205a384!8m2!3d41.6189433!4d-93.6947267!16s%2Fg%2F11srj_zjfl!19sChIJdz6zv5LM5C4RhKMFgq_N9Vw?authuser=0&hl=en&rclk=1,Official Website
